Phone Model,Carrier,Condition,Color,Size,Recently Sold Price,Date
apple-iphone-x-a1865,verizon,Good,Gray,256,749,"Oct03,2018-12:04PM"
apple-iphone-x-a1865,verizon,Mint,Silver,256,720,"Oct03,2018-11:28AM"
apple-iphone-x-a1865,verizon,Mint,Gray,64,735,"Oct03,2018-09:12AM"
apple-iphone-x-a1865,verizon,Mint,Gray,256,759,"Oct03,2018-01:55AM"
apple-iphone-x-a1865,verizon,Fair,Gray,256,650,"Oct03,2018-01:19AM"
apple-iphone-x-a1865,att,Mint,Gray,256,879,"Oct02,2018-03:19PM"
apple-iphone-x-a1865,att,Mint,Gray,64,695,"Oct01,2018-10:48AM"
apple-iphone-x-a1865,att,Mint,Gray,256,765,"Oct01,2018-01:01AM"
apple-iphone-x-a1865,att,Mint,Gray,256,850,"Sep29,2018-02:32PM"
apple-iphone-x-a1865,att,Mint,Gray,64,749,"Sep29,2018-12:03PM"
apple-iphone-x-a1865,tmobile,Mint,Gray,64,764,"Sep25,2018-12:59PM"
apple-iphone-x-a1865,tmobile,Good,Silver,256,750,"Sep25,2018-12:32PM"
apple-iphone-x-a1865,tmobile,Good,Gray,256,750,"Sep25,2018-11:53AM"
apple-iphone-x-a1865,tmobile,Mint,Gray,64,700,"Sep25,2018-09:17AM"
apple-iphone-x-a1865,tmobile,Mint,Gray,64,660,"Sep24,2018-02:11PM"
apple-iphone-x-a1865,sprint,New (Resale),Gray,256,775,"Oct02,2018-07:34PM"
apple-iphone-x-a1865,sprint,Mint,Gray,64,630,"Oct02,2018-06:40PM"
apple-iphone-x-a1865,sprint,Mint,Gray,64,675,"Oct02,2018-11:39AM"
apple-iphone-x-a1865,sprint,Mint,Gray,64,670,"Oct02,2018-08:00AM"
apple-iphone-x-a1865,sprint,Good,Gray,64,640,"Oct02,2018-12:41AM"
apple-iphone-se,verizon,Mint,Rose Gold,32,230,"Oct03,2018-12:54PM"
apple-iphone-se,verizon,Fair,Grey,64,115,"Oct03,2018-12:15PM"
apple-iphone-se,verizon,Good,Grey,64,180,"Oct02,2018-08:28PM"
apple-iphone-se,verizon,Mint,Rose Gold,32,230,"Oct02,2018-07:23PM"
apple-iphone-se,verizon,Fair,Grey,16,120,"Oct02,2018-06:51PM"
apple-iphone-se,att,Mint,Rose Gold,64,160,"Oct03,2018-11:25AM"
apple-iphone-se,att,Good,Grey,128,170,"Oct03,2018-12:32AM"
apple-iphone-se,att,Good,Grey,128,185,"Oct02,2018-09:55PM"
apple-iphone-se,att,Good,Rose Gold,16,120,"Oct02,2018-06:31PM"
apple-iphone-se,att,Good,Silver,64,155,"Oct02,2018-03:40PM"
apple-iphone-se,tmobile,Mint,Grey,32,175,"Oct03,2018-01:10PM"
apple-iphone-se,tmobile,Good,Grey,32,225,"Oct03,2018-11:42AM"
apple-iphone-se,tmobile,Good,Rose Gold,64,145,"Oct03,2018-05:28AM"
apple-iphone-se,tmobile,Good,Rose Gold,64,150,"Oct01,2018-12:37AM"
apple-iphone-se,tmobile,Good,Rose Gold,16,119,"Sep30,2018-09:46PM"
apple-iphone-se,sprint,Good,Grey,32,165,"Oct03,2018-09:33AM"
apple-iphone-se,sprint,Good,Rose Gold,16,115,"Oct02,2018-03:14PM"
apple-iphone-se,sprint,Good,Gold,64,155,"Oct02,2018-11:35AM"
apple-iphone-se,sprint,Fair,Grey,16,104,"Sep30,2018-04:23PM"
apple-iphone-se,sprint,Mint,Rose Gold,64,150,"Sep29,2018-10:27PM"
apple-iphone-8-plus-a1864,verizon,Mint,Gray,64,570,"Oct03,2018-01:06PM"
apple-iphone-8-plus-a1864,verizon,Good,Gray,64,540,"Oct03,2018-12:31PM"
apple-iphone-8-plus-a1864,verizon,Mint,Silver,256,615,"Oct03,2018-06:47AM"
apple-iphone-8-plus-a1864,verizon,Good,Gray,64,550,"Oct03,2018-05:20AM"
apple-iphone-8-plus-a1864,verizon,Good,Gray,64,535,"Oct02,2018-11:55PM"
apple-iphone-8-plus-a1864,att,Good,Gold,64,550,"Oct01,2018-06:38PM"
apple-iphone-8-plus-a1864,att,New (Resale),Gray,64,630,"Sep30,2018-10:30PM"
apple-iphone-8-plus-a1864,att,Good,Gold,256,600,"Sep29,2018-01:48PM"
apple-iphone-8-plus-a1864,att,Good,Gray,64,560,"Sep28,2018-05:31AM"
apple-iphone-8-plus-a1864,att,Mint,Gray,256,775,"Sep27,2018-04:42AM"
apple-iphone-8-plus-a1864,sprint,Good,Gray,64,515,"Oct01,2018-08:23PM"
apple-iphone-8-plus-a1864,sprint,Mint,Red,64,585,"Oct01,2018-01:46PM"
apple-iphone-8-plus-a1864,sprint,Mint,Gold,64,530,"Sep29,2018-04:44PM"
apple-iphone-8-plus-a1864,sprint,Mint,Red,256,640,"Sep29,2018-03:30PM"
apple-iphone-8-plus-a1864,sprint,Mint,Gray,64,550,"Sep28,2018-05:10PM"
apple-iphone-8-a1863,verizon,New (Resale),Gray,64,529,"Oct03,2018-09:00AM"
apple-iphone-8-a1863,verizon,Good,Gold,256,544,"Oct03,2018-08:47AM"
apple-iphone-8-a1863,verizon,New (Resale),Gold,64,540,"Oct02,2018-07:13PM"
apple-iphone-8-a1863,verizon,Mint,Gold,256,490,"Oct02,2018-03:41PM"
apple-iphone-8-a1863,verizon,Good,Gray,256,490,"Oct02,2018-02:25PM"
apple-iphone-8-a1863,att,Good,Gold,64,450,"Oct01,2018-04:46PM"
apple-iphone-8-a1863,att,Good,Gray,64,465,"Sep24,2018-07:08PM"
apple-iphone-8-a1863,att,Good,Gray,64,465,"Sep22,2018-07:05PM"
apple-iphone-8-a1863,att,Mint,Gray,64,540,"Sep18,2018-02:55PM"
apple-iphone-8-a1863,att,Good,Silver,64,515,"Sep15,2018-05:59PM"
apple-iphone-8-a1863,tmobile,New (Resale),Gold,64,472,"Sep26,2018-06:46PM"
apple-iphone-8-a1863,tmobile,New (Resale),Gray,64,539,"Sep22,2018-01:37PM"
apple-iphone-8-a1863,tmobile,Mint,Gray,256,450,"Sep20,2018-08:58AM"
apple-iphone-8-a1863,tmobile,Good,Gray,64,479,"Sep11,2018-07:04PM"
apple-iphone-8-a1863,sprint,Good,Red,64,465,"Oct03,2018-10:22AM"
apple-iphone-8-a1863,sprint,Mint,Gray,64,499,"Oct02,2018-03:50PM"
apple-iphone-8-a1863,sprint,Mint,Gold,256,570,"Sep30,2018-08:40PM"
apple-iphone-8-a1863,sprint,Mint,Gold,256,580,"Sep30,2018-07:42PM"
apple-iphone-8-a1863,sprint,Mint,Silver,256,580,"Sep30,2018-11:22AM"
apple-iphone-7-plus-a1661,att,Good,Black,32,445,"Oct02,2018-07:45PM"
apple-iphone-7-plus-a1661,att,Fair,Black,128,330,"Sep29,2018-11:19PM"
apple-iphone-7-plus-a1661,att,Good,Black,128,465,"Sep29,2018-10:43PM"
apple-iphone-7-plus-a1661,att,Mint,Black,128,399,"Sep28,2018-02:10PM"
apple-iphone-7-plus-a1661,att,Good,Black,128,384,"Sep27,2018-06:50AM"
apple-iphone-7-a1660,att,Fair,Rose Gold,32,287,"Oct02,2018-10:19PM"
apple-iphone-7-a1660,att,Good,Black,128,360,"Oct02,2018-06:15PM"
apple-iphone-7-a1660,att,Good,Rose Gold,128,310,"Oct01,2018-10:44PM"
apple-iphone-7-a1660,att,Fair,Black,128,295,"Oct01,2018-03:39PM"
apple-iphone-7-a1660,att,Good,Rose Gold,32,275,"Oct01,2018-01:39PM"
apple-iphone-6s-plus,verizon,Good,Grey,16,210,"Oct03,2018-11:44AM"
apple-iphone-6s-plus,verizon,Good,Silver,128,325,"Oct03,2018-10:40AM"
apple-iphone-6s-plus,verizon,Good,Grey,64,275,"Oct03,2018-09:31AM"
apple-iphone-6s-plus,verizon,Good,Silver,64,220,"Oct03,2018-08:07AM"
apple-iphone-6s-plus,verizon,Good,Grey,128,290,"Oct02,2018-11:39PM"
apple-iphone-6s-plus,att,Good,Grey,16,200,"Oct02,2018-06:44PM"
apple-iphone-6s-plus,att,Good,Grey,64,279,"Oct02,2018-03:09PM"
apple-iphone-6s-plus,att,Good,Grey,128,270,"Oct01,2018-04:35PM"
apple-iphone-6s-plus,att,Good,Gold,64,265,"Oct01,2018-03:19PM"
apple-iphone-6s-plus,att,Good,Silver,64,260,"Oct01,2018-01:51PM"
apple-iphone-6s-plus,tmobile,Good,Silver,128,295,"Oct03,2018-11:16AM"
apple-iphone-6s-plus,tmobile,Good,Grey,64,290,"Oct03,2018-06:48AM"
apple-iphone-6s-plus,tmobile,Good,Silver,128,255,"Oct02,2018-04:42PM"
apple-iphone-6s-plus,tmobile,Mint,Grey,64,340,"Oct01,2018-06:52PM"
apple-iphone-6s-plus,tmobile,Good,Rose Gold,16,240,"Oct01,2018-02:50AM"
apple-iphone-6s-plus,sprint,Good,Gold,32,255,"Oct01,2018-01:03PM"
apple-iphone-6s-plus,sprint,Good,Rose Gold,16,235,"Oct01,2018-11:45AM"
